season,week,is_playoff,is_neutral,home_completion_pct,home_passing_yds_pg,home_passing_tds_pg,home_passing_cpoe,home_sacks_pg,home_carries_pg,home_rushing_yds_pg,home_rushing_tds_pg,home_rushing_epa_pg,home_targets_pg,home_receiving_yds_pg,home_receiving_tds_pg,home_receiving_epa_pg,home_turnovers_pg,home_penalty_yds_pg,home_dst_tds_pg,home_passing_yds_allowed_pg,home_passing_tds_allowed_pg,home_rushing_yds_allowed_pg,home_rushing_tds_allowed_pg,home_receiving_yds_allowed_pg,home_receiving_tds_allowed_pg,away_completion_pct,away_passing_yds_pg,away_passing_tds_pg,away_passing_cpoe,away_sacks_pg,away_carries_pg,away_rushing_yds_pg,away_rushing_tds_pg,away_rushing_epa_pg,away_targets_pg,away_receiving_yds_pg,away_receiving_tds_pg,away_receiving_epa_pg,away_turnovers_pg,away_penalty_yds_pg,away_dst_tds_pg,away_passing_yds_allowed_pg,away_passing_tds_allowed_pg,away_rushing_yds_allowed_pg,away_rushing_tds_allowed_pg,away_receiving_yds_allowed_pg,away_receiving_tds_allowed_pg,home_spread_covered,home_win,home_rest,away_rest,spread
2015,3,0,0,0.6538461538461539,233.0,3.0,10.90557719404633,4.5,31.0,145.0,0.5,-2.1088927402015543,26.0,233.0,3.0,18.094009239808656,2.0,70.0,0.5,191.0,2.0,104.0,0.5,191.0,2.0,0.5465116279069767,246.5,1.5,-3.476511170061267,1.0,20.5,78.5,0.0,-3.407212033023825,42.0,246.5,1.5,1.2690144883842471,3.5,66.5,0.0,219.5,1.5,124.0,1.0,219.5,1.5,2,0,7,6,-3.0
2015,3,0,0,0.6428571428571429,246.0,3.5,7.501894717469163,0.0,26.5,117.5,1.0,-3.5062390709499596,27.5,246.0,3.5,14.014870593565899,1.0,44.0,1.0,298.0,1.0,81.5,0.5,298.0,1.0,0.6944444444444444,250.0,1.0,5.6976599811909585,3.0,35.0,170.5,1.0,1.4883077328995569,36.0,250.0,1.0,10.499617794629847,0.5,51.5,0.0,300.0,1.5,77.5,1.5,300.0,1.5,2,1,7,7,7.0
2015,3,0,0,0.6666666666666666,292.5,1.5,5.733083324091542,2.5,17.0,58.0,0.0,-5.7726318493078,38.5,292.5,1.5,12.576061145966632,0.5,75.5,0.5,234.5,1.5,142.0,0.0,234.5,1.5,0.7551020408163265,218.5,2.0,9.092685836449004,4.0,31.5,153.5,2.0,2.449564703623996,24.5,218.5,2.0,7.844170632761472,1.5,126.5,0.0,354.5,2.5,60.0,0.5,354.5,2.5,0,0,7,7,1.0
2015,3,0,0,0.7183098591549296,228.5,1.5,5.3671064135705455,4.0,28.5,121.5,0.0,0.1027188061198685,35.0,228.5,1.5,0.011930217989742364,1.5,69.0,0.5,273.0,1.5,101.5,1.0,273.0,1.5,0.5882352941176471,233.0,1.0,-2.9859844947765977,2.0,30.5,149.0,1.0,1.641274260030603,33.5,233.0,1.0,-0.9802006000452002,1.5,117.0,0.0,187.0,3.5,124.0,1.0,187.0,3.5,2,1,7,7,16.5
2015,3,0,0,0.6144578313253012,266.0,2.0,-0.4080175903144774,1.0,16.0,53.5,0.5,-3.64757902276318,40.0,266.0,2.0,3.4507473600946916,2.5,34.0,0.5,278.0,1.5,147.5,2.0,278.0,1.5,0.5882352941176471,215.5,1.5,-4.681708684398068,3.5,23.5,65.0,0.0,-7.377972520538606,42.5,215.5,1.5,-1.6864659134280147,1.0,65.0,0.5,154.0,0.0,110.0,1.0,154.0,0.0,0,0,7,10,-3.0
2015,3,0,0,0.7678571428571429,219.0,2.5,18.40028227730231,1.0,29.5,130.0,0.5,1.3952655646332075,27.0,219.0,2.5,11.734206044348626,0.5,54.5,0.0,215.5,1.5,154.0,0.5,215.5,1.5,0.6551724137931034,217.0,1.5,-2.5341834502835425,3.5,30.0,122.0,1.0,-4.772576180432225,28.0,217.0,1.5,1.8883983248947143,2.0,42.5,0.5,295.0,2.5,79.5,0.0,295.0,2.5,2,1,8,11,4.5
2015,4,0,0,0.7578947368421053,316.6666666666667,1.3333333333333333,14.07505608364078,2.6666666666666665,24.0,93.33333333333333,1.6666666666666667,-0.9956778504842797,31.666666666666668,316.6666666666667,1.3333333333333333,18.16458852829885,0.6666666666666666,66.0,0.0,273.3333333333333,2.0,87.33333333333333,0.0,273.3333333333333,2.0,0.6507936507936508,287.6666666666667,1.3333333333333333,0.16827615874784932,0.6666666666666666,22.0,72.66666666666667,0.3333333333333333,-1.7476495250567226,41.666666666666664,287.6666666666667,1.3333333333333333,2.066842745020234,1.6666666666666665,80.0,0.3333333333333333,303.0,2.0,84.0,0.6666666666666666,303.0,2.0,1,0,4,4,-3.0
2015,4,0,0,0.6141732283464567,294.0,1.6666666666666667,2.019676149653584,2.3333333333333335,18.0,72.66666666666667,0.0,-2.585967184480978,42.0,294.0,1.6666666666666667,4.037034033868224,1.3333333333333333,62.333333333333336,0.3333333333333333,248.66666666666666,2.0,145.0,0.3333333333333333,248.66666666666666,2.0,0.6206896551724138,235.33333333333334,2.0,1.959794970069325,0.6666666666666666,26.333333333333332,100.66666666666667,0.6666666666666666,-4.394268842973356,38.666666666666664,235.33333333333334,2.0,-0.24213360346225463,2.0,57.666666666666664,0.0,199.66666666666666,1.0,106.66666666666667,0.3333333333333333,199.66666666666666,1.0,0,0,7,7,-2.5
2015,4,0,0,0.6637931034482759,315.3333333333333,1.6666666666666667,0.557341567746412,1.3333333333333333,29.666666666666668,106.33333333333333,1.6666666666666667,-1.3127699676734206,38.333333333333336,315.3333333333333,1.6666666666666667,13.134016890532896,0.6666666666666666,64.0,0.0,286.6666666666667,1.0,95.66666666666667,2.0,286.6666666666667,1.0,0.5347222222222222,268.6666666666667,1.3333333333333333,-9.478938994077927,2.3333333333333335,30.0,115.0,0.6666666666666666,-2.853721126014644,47.333333333333336,268.6666666666667,1.3333333333333333,-0.35037395671359556,1.3333333333333333,55.666666666666664,0.0,233.0,2.0,108.66666666666667,0.3333333333333333,233.0,2.0,2,1,7,7,4.0
2015,4,0,0,0.7435897435897435,238.0,2.3333333333333335,10.794879803916672,2.6666666666666665,32.333333333333336,152.66666666666666,1.6666666666666667,-0.07222785557366802,26.0,238.0,2.3333333333333335,12.822506500285188,1.0,97.66666666666667,0.3333333333333333,335.3333333333333,2.3333333333333335,74.0,0.3333333333333333,335.3333333333333,2.3333333333333335,0.6481481481481481,253.33333333333334,1.3333333333333333,0.8723354429909677,1.0,26.0,93.33333333333333,0.6666666666666666,-2.7218648208654486,35.0,253.33333333333334,1.3333333333333333,11.280500837157033,0.3333333333333333,48.666666666666664,0.0,345.0,1.6666666666666667,74.66666666666667,0.6666666666666666,345.0,1.6666666666666667,0,0,7,10,6.0
